ID,Predicted
000,0.019259453
002,0.9999654
001,0.3402034
204,0.999992
322,3.7044287e-05
315,0.05394253
035,2.115965e-06
122,0.09009543
202,0.9992849
352,0.99075997
215,0.23776129
050,0.5521035
138,0.005382836
236,0.8649621
101,1.4334917e-05
209,0.9998617
359,0.9990009
342,0.98433685
091,0.00011396408
303,2.9474497e-05
269,3.1590462e-06
353,0.9930592
015,0.87905204
073,0.9999994
041,0.00011333823
231,0.9424678
142,0.99993587
296,0.85337186
014,0.9932154
078,0.99999416
247,0.18633622
360,0.0007303357
314,0.9954252
257,0.9999998
251,0.99999917
023,1.0
075,0.9879184
150,0.00030699372
154,0.804729
337,0.9999877
184,0.9999859
316,0.7890816
197,0.0050605237
176,0.47086245
294,0.78121865
026,0.9996491
164,0.09502521
030,0.0004528761
217,0.0685648
130,0.9629254
349,0.96215177
213,0.0053857565
060,7.897615e-06
173,0.77206546
216,0.18153772
156,0.28761542
242,1.4901161e-07
295,0.99995714
248,1.0728836e-06
098,0.005315095
112,0.9985355
108,3.85046e-05
051,0.008390337
319,0.20945892
189,0.94360185
172,0.999035
214,1.4901161e-06
246,0.999333
133,0.027589887
186,0.9545944
007,0.92160964
048,0.0009946823
371,0.37248224
331,0.6042829
028,0.75238
155,0.011566341
284,0.05859688
157,0.0802958
334,0.982335
297,0.5670501
263,4.7385693e-06
099,0.9998847
167,0.99632967
293,0.9695696
039,0.638764
126,8.85129e-05
288,0.9984679
206,0.9815002
145,6.237626e-05
343,0.7495846
345,1.2606382e-05
090,0.12720382
264,9.834766e-07
369,0.18274382
368,0.41576415
160,0.012948364
364,0.02715841
064,0.9999217
306,1.8179417e-06
043,0.9999596
299,0.9998423
136,0.99987763
243,0.9993701
144,1.0
052,0.037090063
161,1.3679266e-05
119,0.071528286
221,5.0365925e-06
326,0.9767572
042,0.9954398
280,0.019778192
188,0.011210978
141,0.9932687
104,0.99833
365,9.423494e-05
229,0.008954853
273,7.8469515e-05
080,1.1920929e-07
318,3.5762787e-07
093,0.028893083
066,1.9013882e-05
166,1.0
094,0.99874115
100,0.00043019652
283,0.96129686
124,0.9999311
234,0.0001502037
377,0.6590029
159,0.99924034
362,0.1569551
158,0.25600702
329,0.9999984
123,0.9884837
065,0.9919553
235,2.041459e-05
129,0.049738795
169,0.99937415
340,0.9989816
375,0.0022003353
279,0.04889542
321,0.8935589
338,5.662441e-07
046,0.5113511
222,2.9802322e-08
143,0.9998796
311,0.013077766
148,0.0071061254
211,0.0
053,0.99999976
240,0.016525686
047,0.34490347
004,0.9996748
045,0.15376922
272,0.9265678
262,0.98501414
268,0.9999997
187,0.46871188
069,0.13317439
276,0.9999018
289,5.066395e-07
040,0.009218007
139,0.00011691451
182,0.9133152
077,0.0011201799
309,0.99975735
054,0.13507581
212,0.00029593706
020,0.7123042
238,0.928206
361,0.9676961
373,0.96434796
152,0.9999999
062,0.99636585
025,0.4621988
220,1.04010105e-05
232,0.9542352
219,0.9818415
285,0.99997926
330,2.1070242e-05
105,0.00037133694
210,1.0
115,0.9219307
049,1.0
082,0.99998987
170,0.9087204
261,0.9995674
185,0.17277202
024,0.9989606
208,0.05566588
346,1.1920929e-07
259,0.61909544
190,0.9492763
017,0.7263864
107,0.0021981597
183,0.005581945
239,0.0018597543
347,0.8934022
290,0.99998355
351,0.99997526
312,0.004330486
286,0.4666226
121,0.0
226,0.99658954
135,0.0
032,0.0027938187
117,0.9998781
266,0.00048831105
320,0.9999875
013,0.99889946
228,0.0037879348
354,0.9935928
034,0.00013408065
071,0.011231393
177,5.492568e-05
256,0.7572795
255,0.99779433
271,0.026652128
118,0.08790189
086,0.99099064
056,0.20717034
327,1.0
038,0.4605807
325,0.029594064
137,0.9909158
029,1.1622906e-06
291,0.99997175
356,0.99998677
193,0.9879919
218,0.6268251
003,0.030768037
250,0.33308238
254,0.86644363
344,0.99980736
171,0.8433068
009,0.99999994
146,0.8070774
203,2.208352e-05
181,0.95154035
298,0.9937518
085,0.1418004
057,0.98918116
249,0.74834126
287,0.29368138
106,0.20894769
113,0.0028787255
252,0.83864677
332,0.9972396
253,0.00046393275
033,0.99895173
378,0.016024232
374,0.9998867
313,1.9073486e-06
244,0.89821374
245,0.08899245
174,0.007373661
258,0.9977775
076,0.11941072
282,0.01624024
341,0.9060336
195,0.9999209
092,0.9986518
180,0.30074984
179,0.4047901
116,0.986079
012,0.038777977
281,8.940697e-08
068,0.99978733
265,0.00012764335
114,0.97072315
096,0.9973682
328,0.43008214
357,0.99998116
233,0.0
310,0.6825869
223,0.9999554
372,0.3090256
199,0.013039917
151,0.99999964
358,0.077415705
198,0.99792945
067,0.9998197
063,0.9994742
335,1.2934208e-05
165,0.9612018
348,0.99853367
370,0.6046564
278,7.6293945e-06
267,5.9604645e-08
339,0.9988407
022,0.9998754
059,0.9992634
147,0.9864315
162,0.38369033
163,0.00024738908
168,0.04595071
153,0.39438236
103,0.38718975
194,0.041585505
333,0.98114383
260,0.64679265
207,0.9885845
027,0.66953653
125,0.22994396
097,0.99450135
301,2.771616e-06
018,0.7670178
089,6.994605e-05
031,0.0001642108
111,0.00028192997
128,0.0011864007
224,0.9999956
036,0.9984637
317,0.99994934
074,0.99991834
178,0.959525
305,0.99901795
058,0.9983009
081,0.97150433
196,0.99964434
308,0.9926163
363,0.0005007684
079,0.0010953844
274,0.018102705
131,0.00021126866
205,2.3841858e-07
192,1.4901161e-07
021,0.99955064
061,0.5528171
070,0.97387964
088,0.0003348291
304,0.99246716
083,0.0006709397
055,0.0
292,0.0041928887
175,0.0008171201
008,0.82705
005,0.18705252
010,0.04796353
300,0.6516808
350,0.042054117
323,0.021774799
270,0.9999975
201,0.96368986
277,0.9978048
011,0.99987996
095,0.00036221743
127,0.011940151
307,0.066723526
366,0.9999965
140,0.9733914
200,0.00014996529
109,0.030378819
376,0.02447036
225,0.9997906
241,0.9999962
355,0.9999928
302,0.9906943
134,0.9885552
237,0.03338474
227,0.19522029
149,0.033750832
120,1.0
016,8.136034e-05
087,0.9752848
132,0.9980773
324,0.00010973215
102,0.06674516
037,0.9461029
367,0.22446692
191,0.0015887916
072,0.99121153
275,0.98810244
084,0.38807845
019,0.99750054
006,0.00683406
336,0.9986896
230,0.02946508
110,0.9988168
044,0.82490885
379,0.9991058
386,0.07990858
394,0.00023251772
391,0.09501165
380,0.37025946
383,0.7481362
399,0.9999894
388,1.8537045e-05
384,0.99615765
392,0.8777013
398,0.981198
396,0.9576552
393,1.0
397,0.8768228
382,0.9999513
389,0.7713079
385,0.007666707
387,1.4007092e-06
395,0.94437563
390,0.0019448698
381,0.00061133504
